ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD
1,1,1,2020,1,0,10,1,3,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE MELQUÍADES MORENO,CALLE DOCTOR CARLOS M. LÓPEZ,,-102.29424,21.897879999999997
3,1,1,2020,1,2,45,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,33,0,1,0,0,0,0,0,0,0,0,0,1,2,AVENIDA OJOCALIENTE,CALLE PAULA DE J. JIMÉNEZ DE YÁÑEZ,,-102.25928,21.90344
4,1,1,2020,1,2,10,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ADOLFO RUIZ CORTINEZ,GREY JUNGARI,,-102.36479,21.88195
6,1,1,2020,1,3,40,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,BOULEVARD GUADALUPANO,AVENIDA AGUASCALIENTES ORIENTE,,-102.27019,21.9028
7,1,1,2020,1,4,55,1,3,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA GABRIELA MISTRAL,AVENIDA AVENIDA DE LA CONVENCIÓN ORIENTE,,-102.27949,21.898000000000003
8,1,1,2020,1,5,20,1,3,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,38,0,1,0,0,0,0,0,0,0,0,0,1,2,AVENIDA UNIVERSIDAD,CALLE LAGOS DE MORENO,,-102.31144,21.91084
9,1,1,2020,1,5,15,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA CONVENCIÓN DE 1914 ORIENTE,CALLE JAIME NUNÓ,,-102.27208,21.88105
10,1,1,2020,1,5,30,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE PLAN DE AYUTLA,CALLE LARREÁTEGUI,,-102.30111,21.8864
11,1,1,2020,1,6,30,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,35,0,1,0,1,0,0,0,0,0,0,0,2,2,AVENIDA SIGLO XXI,AVENIDA HACIENDA DE OJOCALIENTE,,-102.25121999999999,21.88713
12,1,1,2020,1,5,50,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE CAMINO DE LA PLATA,CALLE GASPAR DE LA FUENTE,,-102.26380999999999,21.928
13,1,1,2020,1,12,15,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,32,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE CHICHIMECA,CALLE TEOTLALPAN,,-102.24896,21.86421
14,1,1,2020,1,14,15,1,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,27,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE GILBERTO LÓPEZ VELARDE,CALLE FRANCISCO M. REVILLA,,-102.25328,21.91515
